ID	PrimaryID	Title	Characteristics	ProjectTitle	IUBUnit	IUBWorker	DateCompleted	IntScore	IntNotes	ContScore	ContNotes	RareScore	RareNotes	DocScore	DocNotes	TechScore	TechUnknown	TechNotes	GenerationStatement	GenerationNotes	IntellectualPropertyStatement	IntellectualPropertyNotes	GeneralNotes
62	ohrc059	"History: Stringtown, Indiana, 1976"	"Talked to older folks, distinct neighborhood in Indpls, crime, delinquency"	First 5 Yr Prioritization	10	13	10/24/12	4.5	Has had some use.	4	"Fairly rich, not sure all are gems, but some are.  Area has had a consciousness that has faded."	4.8	Really high.	4	"Occasional photo, ""self-interview"" by collector.  One not transcribed."		TRUE	One not transcribed.	Originals		Open		
63	Law 001	Named Lecture Series	"Also includes other important, high-priority talks."	First 5 Yr Prioritization	12	13	10/29/12	5	"Noted jurists, attorneys."	4.5	"Talking about life's work, significant topic."	2.5	Sometimes published info but not often. People out there talking a lot.	3.5	"Newsletter can be used to document this, from 1991 on, some may have printed material, handouts, etc."	2.5	FALSE	"Satisfactory, some are poor, some are better."	Originals		Open	Explicit or implied consent that it's open.	
64	Law 002	Symposiums		First 5 Yr Prioritization	12	13	10/29/12	4	Lower than named lecture series	3	Get dated after a while.	2.7	Many are professors in various law schools who are experts.  Discussions.	3.5	Same type as for named lecture series.	2.5	FALSE	Comparable to last one	Originals		Open		
65	Law 003	Events	"Commencements, academy inductions, orientations, award ceremonies"	First 5 Yr Prioritization	12	13	10/29/12	3.5	Of lesser interest than symposiums	2.8	Sometimes dean would give talk about his/her views of profession	3.5	Nobody else will have anything like this.	3.5	"Commencement programs, induction ceremony books; not much for orientations, though."	2.5	FALSE	Same	Originals		Open		
66	ohrc086	"Perspectives on the Indiana Economy, 1981-1982"		First 5 Yr Prioritization	10	13	10/31/12	4	"Economic history, not a lot of use, but wide-ranging."	3.6	"Good interviews, not all as long as I'd have expected, not as broad."	4.5	"High-end people, so there's likely to be more records of them."	3.3	"Three not transcribed, one only partly transcribed.  Bio sketch, photographs, pamphlet."		TRUE	Always a mystery.	Originals		Open		
67	ohrc042	"Generations of Auto Workers: Anderson, Indiana"	"Labor project, automotive industry.  Auto parts manufacture, documents a 1937 strike."	First 5 Yr Prioritization	10	13	10/31/12	4.6	"Not as much use as Studebaker one, but very interesting for labor/economic historians."	4.6	"Really good, descriptions used in research, vivid descriptions of strike, longer."	4.7	"Line workers, won't have records on these folks."	3.4	Three not transcribed.  Letters?  Photos.		TRUE	Unknown	Originals		Open		
68	ohrc097	"Studebaker, 1984-1985"	"Studebaker plant in South Bend, employees from all levels, mostly blue collar."	First 5 Yr Prioritization	10	13	10/31/12	4.9	"Fair amount of use, by researchers.  Pretty high."	4.7	"Very good, substantive, vivid, nice range men/women/management/blue collar, grant-funded."	5	"Very high, there aren't other projects about this."	4.4	"All transcribed (~2000 pages), indexed.  Union card."		TRUE	Unknown.	Originals		Open		
69	Law004	Court Proceedings		First 5 Yr Prioritization	12	13	11/5/12	3.5	Same as Events	2.5		2	"Could get transcripts, read decision"	3.5	"Newsletter, published decision"	2.5	FALSE		Originals		Open		
70	Law005	Miscellaneous		First 5 Yr Prioritization	12	13	11/5/12	3.6	Moderate value	2.5		2.5	above court proceedings	3.5	in Newsletter	2.5	FALSE		Originals		Open		
71	Law006	Moot Court		First 5 Yr Prioritization	12	13	11/5/12	1.5	Minor	1.5		1.5		3	in Newsletters but less so	2.5	FALSE		Originals		Open		
72	C480	"Allen D. Grimshaw papers, 1917-2008, bulk 1960-1995"	"Unique personal research, work with international conferences (e.g. Aral Sea)."	First 5 Yr Prioritization	1	13	11/9/12	3	"High-level Cold War conferences had historical significance, not used; then his research."	4	"Conferences very well, and research very well."	4	Can't find conference material on CSPAN.	4.4	"Very extensive collection of surrounding information -- results, methodology, etc."		TRUE	Probably good		Mix		"CSPAN stuff would have issues, probably rest open."	
73	C349	"Harold E. Pepinsky papers, 1956-2009, bulk 1980-1998"	Mixture of unique local presentation tapes and commercial tapes used in instruction.	First 5 Yr Prioritization	1	13	11/9/12	2.4	For IU conference parts ONLY -- rest will be discarded.	1.5	Very limited.	3	IU conference recordings appear unique.	1	Quite poor.		TRUE			Originals -- at least the ones that will be kept.		Folks that gave lectures have rights in them.	
74	KF 8915.A2 B45	The Voice of Modern Trials LP		First 5 Yr Prioritization	12	13	11/12/12	2	"Belli wrote lots of stuff, unlikely to be anything really new."	2		1	"Commercially available, about 25 libraries"	3	Album notes	3	FALSE	Commercially recorded.		Copies		Restricted	
75	KF273 .P76 1930z	Prosser to the Freshmen		First 5 Yr Prioritization	12	13	11/12/12	2.5	Moderate	2.5	Moderate	4.5	Very little comparable out there.	1	Only gauged from where he was in his career.	3	FALSE	"No trouble hearing it, good sound quality."		Unknown.		"Not much of a concern, but no information."	Duplicate dated 1949.
76	CeDIR 1	IU-created material	Early research and advocacy materials for people with developmental/intellectual disabilities.	First 5 Yr Prioritization	9	13	11/15/12	5	Hits multiple bullet points.	4.5	More complete than other collections -- thorough but not complete.	4	Items don't show up on WorldCat for early 80s on.	4	"Accompanying booklets, a few production materials and documentation."	4	FALSE	Production quality -- masters.		"Some masters, but a mix -- in some cases other department may have kept masters."		"Much owned by IU, but Ball State material is more murky.  Where we have the master, we probably have rights."	
77	CeDIR 2	Non-IU created material	Otherwise rather similar.	First 5 Yr Prioritization	9	13	11/15/12	4	Second-highest.	3.75	More complete than other collections.	4	Items don't show up on WorldCat for early 80s on.	4	Booklets	3	FALSE	Purchased items.		Duplicates		Owned by other parties	
78	ohrc110	"American Bar Association Section on Legal Education Oral History, 2001"		First 5 Yr Prioritization	10	13	11/28/12	3	Never had any use.  A lawyer might be interested.	3.4	"115 minutes -- fine, but."	3	He's written on himself and on this topic.	4.2	"Higher -- comes with his CV, list of publications, bar association annual report."		TRUE	"Cassette, transcribed."		Original.		Open.	
79	ohrc001	"American Foundations Oral History Project, 1989-1993"		First 5 Yr Prioritization	10	13	11/28/12	4.5	Relatively high -- philanthropy a growing field.	4.5	Very high -- good interviews.	4.5	Don't do a lot of putting themselves forward.	3.5	"Not high -- an annual report, photos"		TRUE	All transcribed		Originals.		"Some are restricted, but most not."	
80	ohrc002	"AURA - Association of Universities for Research in Astronomy, Incorporated, 1983-1984"		First 5 Yr Prioritization	10	13	11/28/12	3	"No use, but could be interest."	3.5	Surely very thorough in coverage of this very specialized topic.	4.6	Presumably pretty unusual.	3.2	"Transcribed, photocopy of relevant document"		TRUE			Originals.		All restricted.	
81	ohrc005	"Autobiography: Edward O. Craft, 1978"		First 5 Yr Prioritization	10	13	11/28/12	3	Comparable to Roush	3.1	Two hours -- stuff of national import.	4.1	Behind the scenes.	3.7	Decent ancillary materials.		TRUE			Originals		Open	
82	ohrc006	"Autobiography: Ernest D. Butler, 1979 [or 1970?]"		First 5 Yr Prioritization	10	13	11/28/12	4.5	Civil rights!	3.5	Presuming it's audible.	3.2	Was interviewed other times.	2.4	No transcript or anything.		TRUE	"Not transcribed, slow speed"		Original		Open	
83	ohrc007	"Autobiography: Hobert Billingsley, 1980"	Swimming and diving coach	First 5 Yr Prioritization	10	13	11/28/12	4.4		3.4		4.4		3.4			TRUE			Original		Restricted	
84	ohrc008	"Autobiography: John M. Cooper, 1978"	Biomechanics.	First 5 Yr Prioritization	10	13	11/28/12	4.4	"Like Billingsley, another ""weird kind of specialization at IU"""	4.4	Ties into some big things.	4.4	Same as Billingsley.	4.4	"CV and article by him, articles about him, transcribed."		TRUE			Originals		Open	
85	ohrc009	"The Autobiography of Mary M. Barr-Koon, 1984"	"Woman in academia (sort of), travels around the world, AAUW."	First 5 Yr Prioritization	10	13	11/28/12	3.4	"Never used, hard to know where she falls."	4.4	Rich because she talked for several hours.	4.4	For her specifically.	3.4	Basic		TRUE			Originals		Open	
86	ohrc010	"Autobiography: Raymond Seifert, 1978"	War experiences (WWII)	First 5 Yr Prioritization	10	13	11/28/12	3.3		3		3.5	"Veteran experiences, fairly common.  Himself, pretty rare."	2.8	"Not transcribed, nothing with it."		TRUE			Original		Open	
87	ohrc011	"Autobiography: Robert C. Wiles, 1976"	"Military experiences before WWI (Pancho Villa), educational experiences at Indiana University"	First 5 Yr Prioritization	10	13	11/28/12	4.2	Unusually early.	4.4		4.9		4	Obituary.		TRUE			Original		Open	
88	ohrc015	"Biography: Homer E. Capehart, 1969-1973"	"With Claude Billings, member of Republican editorial association, about a senator from Indiana"	First 5 Yr Prioritization	10	13	11/28/12	3.4	"Comparable to Hurt, Jenner, etc."	3.9		3.4		3.4	Nothing but transcript		TRUE			Original		Open	
89	ohrc016	"Biography: Ignatius Donnelly, 1969-1973"	Interview with his wife	First 5 Yr Prioritization	10	13	11/28/12	3.4	Minor political	3	Not very long	3.4		3.4	Adequate but basic		TRUE			Originals		Open	
90	ohrc022	"Biography: Morris L. Ernst, 1977"	Lawyer defending Ulysses in censorship case.	First 5 Yr Prioritization	10	13	11/28/12	3.4	Moderate interest -- odd mix of topics	3.4		3.4		3.4			TRUE			Originals		Open	
91	2404	Lish mss.	"20 cassettes of classes; 11 master tapes for ""New Sounds in American Fiction"""	First 5 Yr Prioritization	5	13	11/30/12	4	"Up from Rust Hills, does see use"	3	Up from Rust Hills	4	Content of NSAF also on LP; unusual to have classroom recordings; abandoned teaching style	4.45	Accompanying paper materials very extensive.		TRUE			Originals.		"Complications.  Educational Development Corporation, etc."	
92	1860	Vonnegut mss.	"Videotapes, audiotapes.  Mix of interviews, presentations, family."	First 5 Yr Prioritization	5	13	11/30/12	4	Collection is used frequently -- interest is more popular.	2	"Limited or narrow, incidental."	2.5	Varies from home recordings to mainstream media.	4.45	"Accompanying materials quite extensive, material well labeled."		TRUE			Mixed.		"Shouldn't be a problem except Voices of Freedom, NPR -- good relationship with literary executor."	
93	2671	Hays mss.	Hays - motion picture censor	First 5 Yr Prioritization	5	13	11/30/12	3.2	"Not a lot of use, still new, a lot of potential, students so far."	2.5	Incidental -- miscellaneous speeches.	2.7	Other Hays recordings exist.	4	Complementary information exists -- paper collection.		TRUE			Most likely originals.		Probably could make a good fair use argument.	
94	1808	Odets mss.	Wire recordings -- playwright.	First 5 Yr Prioritization	5	13	11/30/12	2.7	Had a patron request.	3.4	Family members on whom based characters; actors worked with.	4	"Family recordings of Odets, actually relevant to his art."	3.5	"Substantial -- not sure how much relates to this, but a file on aunt and uncle"		TRUE			Originals		"Not a troublesome estate, but might cross paths with studios."	
129	ohrc060	"Immigrant Groups in Indiana, 1978"	"Older people, numerous ethnicities, memories of WWII"	First 5 Yr Prioritization	10	13	1/9/13	4	"Immigration, immigrant experience in Indiana, often IU connections"	4	Thorough but not complete.	4.7	"Not noted people, older folks, not other records of them -- shared experience.  Comparable to St. Meinrad."	2.7	Not all transcribed.		TRUE	Low recording speed.	Originals			A few minor restrictions	
130	ohrc061	"Indiana Automobile Industry, 1982"	Catalyst for other auto project.	First 5 Yr Prioritization	10	13	1/9/13	4.9	Like ohrc097	4.2	Downgraded from ohrc097 -- not as comprehensive.	5	Like ohrc097	3.4			TRUE		Originals		Open		
131	ohrc062	"Indiana Labor History Project, 1996"	"21 interviews - re: Labor unions, strikes, etc."	First 5 Yr Prioritization	10	13	1/9/13	4.3	"Not a lot of use, but labor in Indiana still important topic, timely"	4.7	"Well done, thorough, careful -- peer interviewers."	4.7	Some ppl higher echelons but not national figures who'll have lots of other info about them	3.3	One interview not transcribed		TRUE		Originals		Open		
132	ohrc063	"Indiana Medicine, 1993"		First 5 Yr Prioritization	10	13	1/9/13	5	Barbara's favorite collection -- would use clips in class	4.9	Well done.	4.7		3.4	All transcribed but no extra bits.		TRUE		Originals		Open		
133	ohrc064	"Indiana Politics, 1969; 1978"		First 5 Yr Prioritization	10	13	1/9/13	3.5	Low end of high.	3.5	Knowledge of pieces varies -- the good parts are very good.	4.1	At least some of interviewees likely to have left other records.	3	One of three not transcribed.		TRUE		Originals		Mixed	One is closed.	
134	ohrc045	"Indiana University History Department Centennial, 1994"	"Led to centennial booklet, model for follow-up project."	First 5 Yr Prioritization	10	13	1/9/13	4.8	IU connection	4.4	"Interviews well conducted, but only nine"	4.6	"Different period from ""history of IU"" collection -- more recent -- some other work on some of the ppl"	4	"Booklet came out of it, all transcribed, some complementary info"		TRUE		Originals		Open		
135	ohrc065	"Indian American Communities in Indiana, 1998-1999"		First 5 Yr Prioritization	10	13	1/9/13	4.9	Getting a lot of use as a model.	4.4	Thorough but not complete (higher-profile ppl); two generations.	4.8	"Not so much, though starting to be more."	3.4			TRUE		Originals		Mixed	"Some closed, interviewers to remain anonymous."	"APPLY SAME SCORES TO 066, 067, 068"
136	ohrc069	"Indianapolis Blues, 1985"	Blues musicians in Indpls	First 5 Yr Prioritization	10	13	1/9/13	3.5	"Low end of high, interesting & Indiana topic."	3	Variability in interviews -- some not very complete or long.	4.9	Won't find other interviews with these folks -- not much on Indpls blues.	2.4	Limited		TRUE		Originals		Mixed	Some restricted	
137	ohrc070	"IU Folklore Institute, 1987"		First 5 Yr Prioritization	10	13	1/9/13	4.8	Comparable to history dept centennial.	4.8	Numerous interviews	4.7	"Other ppl have written histories, but this more frank"	3.4	Don't have other stuff.		TRUE		Originals		Closed until 2015		
138	ohrc072	"Indiana University Oral History Archive, 1991-1998"	In two layers -- one focuses on upper level administrators (videotaped too) -- other on COAS faculty	First 5 Yr Prioritization	10	13	1/9/13	5	"History of IU, enormous project."	4	Very good.	4.8	Pretty rare.	3.4			TRUE		Originals		Mostly open	George Springer closed.	"VIDEOS -- one copy to Ryan's office, one to ALF.  ASK PHIL BANTIN."
139	ohrc071	"IU School of Music, 1983"	One interview (Wilfred C Bain)	First 5 Yr Prioritization	10	13	1/9/13	4.5	Important story about development of SOM.	4.5	Rich and exhaustive	4.7	Someone's working on it for a dissertation.	3.5	"30 tapes, first 11 transcribed (repetitive).  Two newspaper articles as clippings."		TRUE		Originals		Open		
140	ohrc114	"Japanese American Community in Indiana, 2003-2005"	From dissertation of Nancy Conner - Japanese American Citizens' League	First 5 Yr Prioritization	10	13	1/9/13	4.1	"Hasn't gotten use, but like other immigrant groups"	3.4	Interviews not very long.	4.7		3.4	All transcribed.		TRUE		Originals		Mixed	One restricted (anonymous)	
141	ohrc066	"Indian-American Communities in the Hoosier State, 1999-2000"	Same as ohrc065	First 5 Yr Prioritization	10	13	1/9/13	4.9		4.4		4.8		3.4			TRUE		Originals		Mixed		
142	ohrc067	"Indian-American Community in Fort Wayne, 1999-2000"	Same as ohrc065	First 5 Yr Prioritization	10	13	1/9/13	4.9		4.4		4.8		3.4			TRUE		Originals		Mixed		
143	ohrc068	"Indian-American Diaspora in the Hoosier State, 1999-2000"	Same as ohrc065	First 5 Yr Prioritization	10	13	1/9/13	4.9		4.4		4.8		3.4			TRUE		Originals		Mixed		
144	ohrc019	"Jewish Life in Indiana, 1974-1981"	"Found in a garage, growing up in time when Klan was big in IN. Issues with anti-Semitism"	First 5 Yr Prioritization	10	13	1/16/13	4.4		2.9	"Not long or professional interviewers, done by members in community"	4.8	"Elderly people, don't have a lot of similar records, focuses on idea of being Jewish"	3.4	"Just transcripts, all transcribed"		TRUE	Good enough to transcribe	Originals		Open		
145	ohrc073	"Korean Immigrants in Indiana, 1990"		First 5 Yr Prioritization	10	13	1/16/13	4.4	"Newer ethnic group, Korean community here"	3	Not long; possible language barrier	4.8	No other records of these people	2.4	Only a few transcribed		TRUE		Originals		Open		
146	ohrc113	"Legal Profession in Indiana, 1976-1980"	No use	First 5 Yr Prioritization	10	13	1/16/13	3.2	A little bit older	4	One 9 hour interview; thorough but not complete	4	Some public figures	3	Not all transcribed		TRUE		Originals		Open		
147	ohrc074	"Life History: Ruth Rives, 1998
Life History: Ruth Rives, 1998"	"Son hired someone to interview her, war through the eyes of a German child;"	First 5 Yr Prioritization	10	13	1/16/13	4.5	Nothing else like it in collection	4.5	"Long interview, thorough"	4.9	No other record of her	3.4	"No other documentation, just her story"		TRUE		Original		Open		
148	ohrc075	"Louisville Tornado of 1974, 1976"	17 interviews	First 5 Yr Prioritization	10	13	1/16/13	3	No use	3	No way of knowing really	3.2	Kentucky has oral history tradition	2.4	Not transcribed		TRUE		Original		Open		
149	ohrc076	"Manhattan Project, 1982"		First 5 Yr Prioritization	10	13	1/16/13	4.8	IU connection and Manhattan Project connection	4.4	"Quite rich, talk about process and personalities, not complete"	4.7	"Unknown if they've been interviewed elsewhere, but not a lot of use"	3.4	"Only have interviews, are transcribed"		TRUE	ood enough to transcribe	Originals		Open		
150	ohrc077	"Media Perceptions of Contemporary Problems, 1975-1976"	"All former IU professors sharing their teen histories, comparing to today's youth"	First 5 Yr Prioritization	10	13	1/16/13	3.4	"No use, IU professors, sociology/history people might be interested"	4.5	"Substantial interviews, some 70-80 pages"	4.7	Interviewees are elderly	3.6	"Related dissertation but is not in collection here, all transcribed, all extensive"		TRUE	Good enough to transcribe	Originals		Open		
151	ohrc078	"Medical Profession in Indiana, 1975, 1976, 1978"	"Goethe Link interview included here, early doctors, early female doctor"	First 5 Yr Prioritization	10	13	1/16/13	4.9	"Not all IU people, medical history, ""before"" of Indiana Medicine project"	4.4	"Some long interviews,some  interviews could have been longer"	5	"Very early, not other records"	3	1 is not transcribed		TRUE	Good enough to transcribe (except 1 that was not transcribed - unknown why)	Original		Open		
152	ohrc079	"Mental Health in Indiana, 1977"	Stonebelt	First 5 Yr Prioritization	10	13	1/16/13	3.5	"History of Stonebelt, mental health centers, area that has changed a lot since Reagan, rise in patient's rights"	3.5	"Interviewer is good, longer interviews"	3.45	Hard to find other interviews with people in this profession here	4.4	"All transcribed, 64 article clippings, long interviews"		TRUE	Good enough to transcribe	Originals		Open		
153	ohrc080	"Movie Theater History in Bloomington, IN, 1998
Movie Theater History in Bloomington, Indiana (1998)"	"Indiana Theater (now Buskirk-Chumley), Von Lee"	First 5 Yr Prioritization	10	13	1/16/13	4.4	"Some use, Buskirk planning an oral history project, larger interest in historic theaters, documenting an institution"	3.5	"Vary in length, focused interviews"	4.8	"Not going to find elsewhere, but not recording their lives"	3	One not transcribed		TRUE	"Most good enough to transcribe, others unknown"	Originals		Open		
154	ohrc082	"National Forests in Indiana, 1977, 1981"	Tree farming	First 5 Yr Prioritization	10	13	1/16/13	3.4	"One interviewee with CCC, no use"	3.4	Some interviews 30-40 pages	4.8	Not many other projects about this site and topic	3.6	"Clippings and other ephemera, all transcribed"		TRUE	Good enough to transcribe	Originals		Mixed	One restricted	
155	ohrc084	"People of Indianapolis, 1983"	43 interviews	First 5 Yr Prioritization	10	13	1/23/13	4.8	"Fair amount of scholarly/family use, about Indiana, life history interviews so very full, city history"	4.4	"Some transcribed, good interviewers, shorter ones aren't transcribed (possibly because not as rich)"	4.9	"Ordinary, older people.  Some African American."	2.4	Only 18 are transcribed		TRUE	Some good enough to transcribe	Originals		Mixed	Some are restricted	
167	ohrc093	"Social Work, 1976"	Experiences of an Indiana social worker.	First 5 Yr Prioritization	10	13	1/30/13	2.5	No use.	2.5	Minimal information.	4.7	Probably not much on this individual.	2.4	Not transcribed.		TRUE		Originals		Open		
206	74-120-F	Dennis Duerden Collection of African Oral Data	"Writers, time of major political transition, broadly representative, Duerden interesting as scholar"	First 5 Yr Prioritization	7	13	2/22/13	5	"Top of scale: as much or more than anything we have, reaches across broad audience internationally"	4.75	"Literature, plays, politics -- holistic."	4.75	Nothing comparable seems to exist anywhere else.	4.25	"Well labeled, many transcribed (CAMP), nothing like fieldnotes, photographs"		TRUE	Probably fairly good.	Copies	Originals in British Library	"Mixed, largely Option 2"	ATM discretion re: use for educational purposes.  Some copyright issues.	
208	92-184-F/B	"Somalia, Somalis, Bogumil Witalis Andrzejewski, 1958-1991"	"Major scholar, helped develop modern Somali script"	First 5 Yr Prioritization	7	13	3/1/13	4.8	"Somali literature, language, music, collected by major figure -- interest to linguists, historians (one country, narrower than Duerden)."	4.8	"Long time period, likely of high value."	4.75	"*Warrants further research (British, Italian collections?) but appears to be quite special."	4.5	"*Look at accession folder -- Manuscripts at Lilly, books, well identified."		TRUE	Not optimistic	Originals		Option 1	"Some are radio broadcasts, but probably wouldn't encounter too many problems."	
209	LMC 2246	ALTA mss.		First 5 Yr Prioritization	5	13	3/20/13	2		2		2.5		2.4		2.5	FALSE	"""(mostly guessing here)"""	Originals		Open		
210	LMC 1065	"Barnard, H. mss."		First 5 Yr Prioritization	5	13	3/20/13	3		2.4		2.5		3.5		2.5	FALSE	"""(mostly guessing here)"""			Open		
211	LMC 1069	Barr mss.		First 5 Yr Prioritization	5	13	3/20/13	2		2.5		2		3.5		3.5	FALSE	"""(mostly guessing here)"""			Open		
212	LMC 1063	Bayne mss.		First 5 Yr Prioritization	5	13	3/20/13	2		1.5		3.5		2.5		3.5	FALSE	"""(mostly guessing here)"""			Open		
213	LMC 2517	Bellos mss.		First 5 Yr Prioritization	5	13	3/20/13	3.5		3.4		3.5		3.5		3.4	FALSE	"""(mostly guessing here)"""			Open		
214	LMC 1083	Benns mss.		First 5 Yr Prioritization	5	13	3/20/13	1.5		1.4		1.5		2.5		3.5	FALSE	"""(mostly guessing here)"""			Open		
215	LMC 2531	Bleiler mss.		First 5 Yr Prioritization	5	13	3/20/13	2		2		3		2.5		2.5	FALSE	"""(mostly guessing here)"""			Open		
216	LMC 1212	Cooper II mss.		First 5 Yr Prioritization	5	13	3/20/13	3.5		3.5		4.9		4		3	FALSE	"""(mostly guessing here)"""			Open		
217	LMC 1440	Hahn mss. III		First 5 Yr Prioritization	5	13	3/20/13	4		4.5		3.5		4.4		2.5	FALSE	"""(mostly guessing here)"""			Open		
218	LMC 2514	Corman mss. III		First 5 Yr Prioritization	5	13	3/20/13	3.2		3		4.9		3.5		2.4	FALSE	"""(mostly guessing here)"""			Open		
219	CEUS 1	Top Priorities	"Items rated by Lynn Hooker as ""significant"" and not available elsewhere on campus"	First 5 Yr Prioritization	24	13	3/21/13	4		4		3		3			TRUE			Copies		Mostly commercial content	"On DVD-R: See http://www.indiana.edu/~ceus/events/hungariansymposiumprogram.htm for description:
SATURDAY, March 4, 2006
11:30-12:20pm       Keynote Address
                                The Ten Truths of the Hungarian Revolution and War of Independence of 1956 (abstract)
                                        Béla Király, Commander-in-Chief of the National Guard of Hungary (1956)
                                        Note:  A recent injury precludes travel so Béla Király's presentation is by video."
220	CEUS 2	Moderate Priorities	"Items identified by Lynn Hooker as of ""potential"" interest, or not rated"	First 5 Yr Prioritization	24	13	3/21/13	3		3		2.5		3			TRUE			Copies		Mostly commercial content	
221	CEUS 3	Low Priorities	Commercial items readily available on DVD and/or elsewhere on campus	First 5 Yr Prioritization	24	13	3/21/13	2		2		2		3			TRUE			Copies		Mostly commercial content	
222	Astronomy 1	High Priority Items		First 5 Yr Prioritization	63	13	3/21/13	4		4		3		3			TRUE			Mixed		Mixed	
223	Astronomy 2	Low Priority Items		First 5 Yr Prioritization	63	13	3/21/13	2		2		2		3			TRUE			Copies		Mostly commercial	
252	78-084-F	"Papua New Guinea, Mt. Bosavi region, Kaluli, Steven Feld, 1976-1977"		First 5 Yr Prioritization	7	13	4/5/13	4.9	Great interest -- via Feld's work -- and Kaluli (as example of type)	5		4.85	Not a lot of others have done research in this area.	5	Numerous people say documentation is astounding -- best-documented collection we have.	5	FALSE	Exceptional; Nagra	Original		Option 3		
253	78-085-F	"Papua New Guinea, Samo, 1976-1977"		First 5 Yr Prioritization	7	13	4/5/13	2	Low	1.5	Rather superficial	4.75	Hardly anything on the Samo	3	Routine documentation -- adequate but basic	5	FALSE	Presumed same as 78-084-F	Original		Option 3		
254	76-049-F	"Liberia, Dei, Gbande, Gola, Kpelle, Mandingo, Vai, Svend Holsoe, 1965-1970"		First 5 Yr Prioritization	7	13	4/5/13	4.5	Part of larger endeavor	3.4	"Diverse, comprehensive though maybe not systematic.  Fact that there are English translations is useful."	4.5	A few others have worked in Liberia -- not unique but very rare	3	Identifies but does little more	2.4	FALSE	Mediocre at best.	Mixed		Option 3		
255	93-114-F	"Turkey, Iran, Iraq, Ilhan Basgoz, 1956-1982"	"Some digitiziation, interviewing currently underway."	First 5 Yr Prioritization	7	13	4/19/13	4.5	Basgoz highly regarded as poet and scholar in Turkey.	4.5	Seems substantial.	3	"Other collections exist, not plentiful"	4.25	"Field notebooks, partial translations, ongoing interview project."		TRUE		Original? -- check		Option 1		Include 67-117-F
256	74-071-F	"Surinam, Pikílío Region, Saramaka maroons, Richard Price, 1967-1968"		First 5 Yr Prioritization	7	13	4/19/13	4.5	"Research well regarded, significant in Caribbean studies.  Suriname tends to be neglected but of interest re: African diaspora."	4.7	"High, anthropological approach, definitely an ethnographic collection."	4.65	Only Herskovits otherwise.	4.75	"Notes, transcriptions, related books and manuscript"		TRUE				Option 3		Herskovits recordings of same group are here too.
257	85-657-F	"United States, Arizona, Flagstaff, Hopi, C. F. Voegelin, 1954-1980"		First 5 Yr Prioritization	7	13	4/19/13	4.6	High -- well known group. Voegelin himself of some interest.  Probably heavy on linguistic side.	4.8	"For what it's trying to do, very well, long time period."	2.6	Not so rare but linguistic focus may be unusual.	4.9	71 folders of material		TRUE						
258	MPP1a	Birch Bayh Senatorial Papers - Audiocassettes	Higher priority portion of Bayh collection.	First 5 Yr Prioritization	72	13	4/19/13	5	Of the highest interest.	5	Not 'cleaned up'; very rich.	5	"Goes up to 1980, but given career of CSPAN, PBS, which would be main recording sources, very rare."	1.5	Less than adequate -- not all identified.  Will be audibly identifiable.  Printed documentation of hearings.	3	FALSE	Hearings pretty good; Senators' mikes not so good.	Original			Bayh has kept literary rights but no problem to get permission.	
259	MPP1b	"Birch Bayh Senatorial Papers - Films, Videos, Open Reel Tapes"	Mostly campaign-oriented content.	First 5 Yr Prioritization	72	13	4/19/13	3	"If they are largely campaign, will be of limited interest -- study of campaign media."	4	Does a good job of documenting that little corner.	5	Pretty rare; doubt anyone else would have them.	0.5	Abysmal		TRUE	Films that have been done not above average at all.	Original	Mixed but probably no copies of originals that survive elsewhere.		Bayh has kept literary rights but no problem to get permission.	
260	MPP2a	Lee H. Hamilton Congressional Papers - Higher Priority Materials	"Sampling, smattering of unique-ish stuff."	First 5 Yr Prioritization	72	13	4/19/13	3	"People interested in Hamilton's role, mainly biographical."	1.5	Very much in the nature of a small sample of his work.	4.5	Probably fairly high.	3.5	Good for sheer identification.		TRUE	Guess is it's pretty good.	Unknown			Probably no IP problem.	"213.022, 214.015, 214,026, 214.031, 215.007, 215.026, 215.027, 215.030, 215.031, 215.032, 216.001, 216.004, 216.005, 216.006, 216.007."
261	MPP2b	Lee H. Hamilton Congressional Papers - Lower Priority Items	All commercial stuff.	First 5 Yr Prioritization	72	13	4/19/13	4.5	Covers all of his work.	4.5		1.5	Low.  CSPAN has archives etc.  CNN presumably too.	3.5	Same as other group		TRUE		Copies			IU has no rights.	
284	93-161-B/C/F + 93-198-F/C/B + 95-132-F	"Egypt, Cairo, Coptic, Martha Roy, 1932-1977; Egypt, Cairo and Kuwait, Martha Roy,ca. 1944- ca. 1978?"	Mix of original recordings and other materials	First 5 Yr Prioritization	7	13	5/3/13	3.5	"A bit esoteric, but with current happenings in Egypt, persecution of Coptic Christians; her work is important on subject."	4.8	"Large collection, long time period, area of specialty as scholar."	3.25	"Not super-rare, but not a lot of material out there either.  Moderately rare."	2.5	She's published on it to some degree.  But low end of adequate for identification.	2.6	FALSE	Some technical problems noted.	Mixed		Uncertain		
285	74-102-F	"Afghanistan, Heret, Hafizullah Baghban, 1972-1973"		First 5 Yr Prioritization	7	13	5/3/13	4.25	Material from this period should be of interest but no ATLs made (hence no requests).	4.25		4.75	Very little -- Dupree	2.75		2.5	FALSE	Likely -- wouldn't be much higher.	Originals		Option 3		
